iter	RMSE
0	10.96237433
1	8.845189283
2	7.418121068
3	6.368510953
4	5.628413008
5	5.084100356
6	4.544074496
7	4.155207016
8	3.832259791
9	3.617425186
10	3.409622441
11	3.277934815
12	3.168596875
13	3.023694
14	2.887811636
15	2.806272167
16	2.68593678
17	2.636501238
18	2.533728119
19	2.475644569
20	2.400065806
21	2.322607559
22	2.288225729
23	2.252707677
24	2.198651151
25	2.146481308
26	2.109783265
27	2.06829015
28	2.042164556
29	2.013740997
30	1.979011699
31	1.946209323
32	1.922394876
33	1.898675488
34	1.866596218
35	1.855133435
36	1.831204568
37	1.807977207
38	1.793539191
39	1.765690519
40	1.752417651
41	1.741662498
42	1.725344745
43	1.70474783
44	1.679862261
45	1.669420128
46	1.655101661
47	1.647243015
48	1.634087312
49	1.622110527
50	1.598647769
51	1.591599239
52	1.571549939
53	1.555748393
54	1.533648241
55	1.532244225
56	1.517907045
57	1.505466583
58	1.488481114
59	1.478038472
60	1.46188273
61	1.452102248
62	1.446578948
63	1.435691368
64	1.422764391
65	1.409518676
66	1.403578637
67	1.396413675
68	1.38678927
69	1.383867731
70	1.376046071
71	1.363027744
72	1.354182864
73	1.347420658
74	1.34367701
75	1.33706123
76	1.324795515
77	1.320804966
78	1.311219898
79	1.302354027
80	1.294526281
81	1.289336536
82	1.281746923
83	1.278421696
84	1.272690517
85	1.266976527
86	1.25587071
87	1.251715658
88	1.244683156
89	1.243530765
90	1.238073528
91	1.236216475
92	1.226378122
93	1.221248813
94	1.212300764
95	1.206547119
96	1.19581188
97	1.190129752
98	1.189100249
99	1.185581799
100	1.185026713
101	1.182290102
102	1.177465244
103	1.173025252
104	1.168002977
105	1.161805277
106	1.157785506
107	1.140678
108	1.138999715
109	1.138453463
110	1.133037818
111	1.127030818
112	1.124012068
113	1.119808187
114	1.116934559
115	1.113824421
116	1.109026375
117	1.105728229
118	1.101759149
119	1.098831527
120	1.097958143
121	1.0926046
122	1.089299689
123	1.083912999
124	1.081996413
125	1.074356181
126	1.071860465
127	1.06790106
128	1.063113488
129	1.062900876
130	1.053287361
131	1.047036476
132	1.044530389
133	1.041861428
134	1.040258578
135	1.031429378
136	1.0304556
137	1.026950199
138	1.023320556
139	1.020659303
140	1.019608928
141	1.016751422
142	1.013575011
143	1.012240415
144	1.010127214
145	1.008859325
146	1.008237203
147	1.005877153
148	1.004008936
149	1.000819766
150	0.9980771807
151	0.9947736896
152	0.9926602903
153	0.9903413419
154	0.9874304949
155	0.9870838299
156	0.9854599269
157	0.98222121
158	0.9797283995
159	0.9785589706
160	0.9762689067
161	0.9758781852
162	0.9742867947
163	0.9719308091
164	0.9692970007
165	0.965914925
166	0.9633562379
167	0.9617278623
168	0.9610749058
169	0.9589970571
170	0.9572790624
171	0.9557326023
172	0.9543721755
173	0.9519807605
174	0.9513302569
175	0.9510178754
176	0.9499965812
177	0.9469143326
178	0.9443669518
179	0.9433803573
180	0.9413335808
181	0.9406186405
182	0.9383790103
183	0.9339116082
184	0.9306712783
185	0.9285034786
186	0.9271894123
187	0.9235795404
188	0.9225096658
189	0.9193476523
190	0.9166989687
191	0.9154397326
192	0.913819631
193	0.9110715665
194	0.9095574499
195	0.9092229244
196	0.9076139136
197	0.9053917592
198	0.9034085942
199	0.9017352744
200	0.8970641455
201	0.8951932916
202	0.8931936316
203	0.888050819
204	0.8859065917
205	0.8849481581
206	0.88428052
207	0.8820744809
208	0.880565828
209	0.8795455737
210	0.8782613968
211	0.8767019543
212	0.8748431932
213	0.8742029089
214	0.8736267851
215	0.8717503362
216	0.8710307759
217	0.8694785367
218	0.8680643525
219	0.8657819853
220	0.864267296
221	0.8619451426
222	0.8601613016
223	0.8580257459
224	0.857769546
225	0.8569847123
226	0.8560519817
227	0.8541181541
228	0.8495077453
229	0.848632247
230	0.8468306122
231	0.8451230291
232	0.8440988868
233	0.8424340826
234	0.8410354509
235	0.8395427094
236	0.8386633845
237	0.8384872911
238	0.8380369186
239	0.8375927382
240	0.8353913289
241	0.8348098346
242	0.8330744716
243	0.8316493525
244	0.8309663487
245	0.8260831323
246	0.8254234581
247	0.8247143859
248	0.8229836475
249	0.8220356831
250	0.8215010842
251	0.8214390116
252	0.8192951963
253	0.8188231038
254	0.8170978453
255	0.816083194
256	0.8157836328
257	0.8142458759
258	0.8114512787
259	0.8107533396
260	0.8081478545
261	0.8068722167
262	0.8058224098
263	0.8054039487
264	0.8038528832
265	0.8034059495
266	0.8030066359
267	0.8027745421
268	0.8016477717
269	0.8012059908
270	0.7990512103
271	0.7979173483
272	0.7957978645
273	0.7949925195
274	0.7947009717
275	0.7937595496
276	0.7918810181
277	0.7913807362
278	0.7904111483
279	0.7893335545
280	0.7872368125
281	0.7865782149
282	0.78636423
283	0.7861423738
284	0.7853046787
285	0.784400042
286	0.783448054
287	0.7819252663
288	0.7817562008
289	0.7812454114
290	0.779819962
291	0.7795600008
292	0.7782873414
293	0.7767196873
294	0.7747706659
295	0.773448697
296	0.7699617836
297	0.7695556883
